model,ROC_AUC,PR_AUC,EER,FAR_all_attacks,FRR_genuine,FAR_hardware_injection
Attestation only,0.7203240740740741,0.898416126307999,0.3405555555555556,0.3411111111111111,0.34,0.69
Flash only,0.8675592592592593,0.9490783304713744,0.2344444444444444,0.2322222222222222,0.2366666666666666,0.23
IMU only,0.8056333333333334,0.9238354090631744,0.2694444444444444,0.2688888888888889,0.27,0.25
Latency/FPS only,0.6935962962962963,0.8783262320245399,0.3666666666666667,0.3666666666666666,0.3666666666666666,0.2233333333333333
Full fusion,0.905874074074074,0.9654315821193272,0.1761111111111111,0.1755555555555555,0.1766666666666666,0.23
